 
| Accuray Rank  |   PCA |   GMM |   Covariance  | Parameters ||Accuracy|
---------------------------------------------------------------
|             1 |   7   |   3   |   spherical   |         48 ||   0.973|
|             2 |   4   |   3   |   tied        |         44 ||    0.97|
|             3 |   6   |   3   |   spherical   |         42 ||   0.968|
|             4 |   5   |   3   |   spherical   |         36 ||   0.966|
|             5 |   3   |   4   |   spherical   |         32 ||   0.964|
|             6 |   5   |   4   |   spherical   |         48 ||   0.964|
|             7 |   4   |   5   |   spherical   |         50 ||   0.962|
|             8 |   2   |   11  |   tied        |         50 ||   0.958|
|             9 |   5   |   2   |   tied        |         50 ||   0.958|
|            10 |   3   |   4   |   diag        |         48 ||   0.954|
|            11 |   2   |   9   |   tied        |         42 ||   0.954|
|            12 |   2   |   8   |   spherical   |         48 ||   0.953|
|            13 |   3   |   6   |   tied        |         48 ||   0.953|
|            14 |   3   |   5   |   spherical   |         40 ||   0.951|
|            15 |   3   |   6   |   spherical   |         48 ||   0.951|
|            16 |   2   |   5   |   full        |         50 ||   0.951|
|            17 |   2   |   7   |   spherical   |         42 ||    0.95|
|            18 |   2   |   4   |   full        |         40 ||    0.95|
|            19 |   2   |   10  |   tied        |         46 ||   0.948|
|            20 |   2   |   3   |   diag        |         24 ||   0.948|
|            21 |   2   |   7   |   tied        |         34 ||   0.948|
|            22 |   2   |   8   |   tied        |         38 ||   0.947|
|            23 |   3   |   4   |   tied        |         36 ||   0.947|
|            24 |   2   |   3   |   spherical   |         18 ||   0.946|
|            25 |   5   |   1   |   tied        |         40 ||   0.946|
|            26 |   5   |   1   |   full        |         40 ||   0.946|
|            27 |   2   |   3   |   tied        |         18 ||   0.945|
|            28 |   2   |   4   |   spherical   |         24 ||   0.944|
|            29 |   2   |   6   |   spherical   |         36 ||   0.944|
|            30 |   3   |   5   |   tied        |         42 ||   0.944|
|            31 |   2   |   5   |   spherical   |         30 ||   0.943|
|            32 |   2   |   6   |   tied        |         30 ||   0.942|
|            33 |   2   |   4   |   diag        |         32 ||   0.941|
|            34 |   2   |   4   |   tied        |         22 ||   0.941|
|            35 |   2   |   5   |   tied        |         26 ||   0.941|
|            36 |   2   |   6   |   diag        |         48 ||   0.933|
|            37 |   2   |   5   |   diag        |         40 ||   0.932|
|            38 |   2   |   3   |   full        |         30 ||   0.931|
|            39 |   3   |   3   |   tied        |         30 ||   0.923|
|            40 |   4   |   4   |   spherical   |         40 ||   0.923|
|            41 |   1   |   4   |   tied        |         10 ||   0.918|
|            42 |   1   |   11  |   spherical   |         44 ||   0.916|
